donors,mean,donations,in_state_donors_count,oo_state_donors_count,in_state_donations_amt,oo_state_donations_amt,name,org_id,office,district,CO_ID,party,jurisdiction,race_id,declared_year
290,109.98134482758621,372,275.0,15.0,113.69312727272728,41.932,"SANCHEZ, ROMUALDO",37291,Colorado Senate,Senate District 22,20135025490.0,Republican,STATEWIDE,510,2017.0
15,327.67533333333336,16,14.0,1.0,322.50928571428574,400.0,"COOKE, JOHN",39838,Colorado Senate,Senate District 13,20135025559.0,Republican,STATEWIDE,3098,2018.0
15,266.6666666666667,15,10.0,5.0,240.0,320.0,"SONNENBERG, JERRY",39795,Colorado Senate,Senate District 01,20135025568.0,Republican,STATEWIDE,919,2018.0
14,106.42857142857143,14,12.0,2.0,95.0,175.0,"CRANE, MATT",38829,Clerk & Recorder,,20135025623.0,Republican,ARAPAHOE,136,2017.0
56,231.6767857142857,58,49.0,7.0,246.40612244897957,128.57142857142858,"VAN WINKLE, KEVIN",36917,Colorado House,House District 43,20135025645.0,Republican,STATEWIDE,1496,2017.0
27,247.22222222222223,27,21.0,6.0,213.0952380952381,366.6666666666667,"SCOTT, RAY",39383,Colorado Senate,Senate District 07,20135025672.0,Republican,STATEWIDE,1546,2017.0
53,1671.132075471698,58,51.0,2.0,1720.9803921568628,400.0,"CARVER, TERRI",37615,Colorado House,House District 20,20135025812.0,Republican,STATEWIDE,1479,2017.0
10,400.0,10,3.0,7.0,933.3333333333334,171.42857142857142,"BECKER, JON",39651,Colorado House,House District 65,20135026345.0,Republican,STATEWIDE,1579,2018.0
45,241.44444444444446,46,42.0,3.0,230.11904761904762,400.0,"NEVILLE, PATRICK",37671,Colorado House,House District 45,20135026530.0,Republican,STATEWIDE,1007,2017.0
45,241.44444444444446,46,42.0,3.0,230.11904761904762,400.0,"NEVILLE, PATRICK",37666,Colorado House,House District 45,20135026530.0,Republican,STATEWIDE,1798,2017.0
45,241.44444444444446,46,42.0,3.0,230.11904761904762,400.0,"NEVILLE, PATRICK",37670,Colorado House,House District 45,20135026530.0,Republican,STATEWIDE,1798,2017.0
45,241.44444444444446,46,42.0,3.0,230.11904761904762,400.0,"NEVILLE, PATRICK",37668,Colorado House,House District 45,20135026530.0,Republican,STATEWIDE,1798,2017.0
45,241.44444444444446,46,42.0,3.0,230.11904761904762,400.0,"NEVILLE, PATRICK",37669,Colorado House,House District 45,20135026530.0,Republican,STATEWIDE,1798,2017.0
45,241.44444444444446,46,42.0,3.0,230.11904761904762,400.0,"NEVILLE, PATRICK",37661,Colorado House,House District 45,20135026530.0,Republican,STATEWIDE,1798,2017.0
244,230.86610655737707,275,229.0,15.0,237.47305676855896,130.0,"GARCIA, LEROY",36865,Colorado Senate,Senate District 03,20135026550.0,Democratic,STATEWIDE,2299,2016.0
97,131.5758762886598,108,92.0,5.0,130.03108695652173,160.0,"ZENZINGER, RACHEL",36864,Colorado Senate,Senate District 19,20135026579.0,Democratic,STATEWIDE,3102,2016.0
5,240.0,6,4.0,1.0,200.0,400.0,"LONTINE, SUSAN",37410,Colorado House,House District 01,20135026583.0,Democratic,STATEWIDE,1062,2017.0
144,204.35868055555557,154,135.0,9.0,207.42703703703705,158.33333333333334,"ESGAR, DANEYA",37349,Colorado House,House District 46,20145026662.0,Democratic,STATEWIDE,2176,2017.0
26,79.8076923076923,34,25.0,1.0,82.0,25.0,"DANIELSON, JESSIE",36861,Colorado House,House District 24,20145026664.0,Democratic,STATEWIDE,749,2016.0
35,95.42857142857143,35,29.0,6.0,101.37931034482759,66.66666666666667,"THURLOW, DANIEL",38936,Colorado House,House District 55,20145027305.0,Republican,STATEWIDE,199,2017.0
2,2257.54,5,1.0,1.0,4396.84,118.24,"SCHROETLIN, BRETT",39731,Sheriff,,20145027877.0,Republican,GRAND,1336,2018.0
127,265.28779527559055,144,112.0,15.0,279.8910714285714,156.25,"MARTINEZ HUMENIK, BETH",36188,Colorado Senate,Senate District 24,20145028078.0,Republican,STATEWIDE,2314,2016.0
10,372.5,10,7.0,3.0,446.42857142857144,200.0,"RANSOM, KIM",36897,Colorado House,HOUSE DISTRICT 44,20145028432.0,Republican,STATEWIDE,176,2017.0
174,108.9122988505747,200,135.0,39.0,121.85185185185185,64.12153846153846,"HEROD, LESLIE",36944,Colorado House,House District 08,20155028813.0,Democratic,STATEWIDE,2365,2017.0
36,34.72222222222222,39,34.0,2.0,38.23529411764706,-25.0,"KAGAN, DANIEL",36948,Colorado Senate,Senate District 26,20155028830.0,Democratic,STATEWIDE,378,2017.0
62,234.43,71,54.0,8.0,251.3825925925926,120.0,"GRAY, MATT",36949,Colorado House,House District 33,20155028838.0,Democratic,STATEWIDE,2599,2017.0
68,159.68676470588235,87,59.0,9.0,158.02881355932206,170.55555555555554,"WEISSMAN, MIKE",36975,Colorado House,House District 36,20155028840.0,Democratic,STATEWIDE,2046,2017.0
112,185.51785714285714,126,87.0,25.0,203.42528735632183,123.2,"HANSEN, CHRISTOPHER",36903,Colorado House,House District 06,20155028855.0,Democratic,STATEWIDE,2664,2017.0
112,185.51785714285714,126,87.0,25.0,203.42528735632183,123.2,"HANSEN, CHRISTOPHER",34320,Colorado House,House District 06,20155028855.0,Democratic,STATEWIDE,363,2016.0
19,257.2105263157895,19,14.0,5.0,305.35714285714283,122.4,"FENBERG, STEPHEN",36860,Colorado Senate,Senate District 18,20155028856.0,Democratic,STATEWIDE,2603,2016.0
159,416.1509433962264,177,153.0,6.0,427.8562091503268,117.66666666666667,"WILLIAMS, WAYNE",37868,Secretary of State,,20155028934.0,Republican,STATEWIDE,247,2017.0
209,111.56459330143541,239,203.0,6.0,108.96551724137932,199.5,"KENNEDY, CHRIS",36878,Colorado House,House District 23,20155028945.0,Democratic,STATEWIDE,2136,2016.0
11,436.3636363636364,11,9.0,2.0,466.6666666666667,300.0,"SIAS, LANG",37799,Colorado House,House District 27,20155028953.0,Republican,STATEWIDE,2695,2017.0
